address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
6256 3RD Ave NW,SEATTLE,WA,98107,955000,4050.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/6256-3RD-Ave-NW-Seattle-WA-98107/49125996_zpid/
2212B NW 60th St,Seattle,WA,98107,749950,1178.0,2.0,2.0,3,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2212B-NW-60th-St-Seattle-WA-98107/2091011344_zpid/
5113 9TH Ave NW,SEATTLE,WA,98107,760000,1420.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/5113-9TH-Ave-NW-Seattle-WA-98107/58383894_zpid/
137 NW Bowdoin Pl,SEATTLE,WA,98107,850000,2130.0,4.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/137-NW-Bowdoin-Pl-Seattle-WA-98107/48722853_zpid/
6307 26TH Ave NW,SEATTLE,WA,98107,975000,1610.0,3.0,4.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6307-26TH-Ave-NW-Seattle-WA-98107/48931441_zpid/
2424A NW 62nd St,Seattle,WA,98107,864950,1532.0,3.0,3.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2424A-NW-62nd-St-Seattle-WA-98107/2091015883_zpid/
1518 NW 57TH St # A,SEATTLE,WA,98107,747000,1350.0,3.0,2.5,5,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1518-NW-57TH-St-A-Seattle-WA-98107/62922582_zpid/
1530 NW Market St UNIT 407,SEATTLE,WA,98107,457500,687.0,1.0,1.0,6,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1530-NW-Market-St-UNIT-407-Seattle-WA-98107/83228854_zpid/
1761 NW 58th St # B,Seattle,WA,98107,729000,1247.0,2.0,2.5,6,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1761-NW-58th-St-B-Seattle-WA-98107/2091059819_zpid/
6042 Seaview Ave NW UNIT 203,SEATTLE,WA,98107,885000,1396.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/6042-Seaview-Ave-NW-UNIT-203-Seattle-WA-98107/58388945_zpid/
6110 24th Ave NW APT 201,Seattle,WA,98107,459000,789.0,2.0,2.0,12,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/6110-24th-Ave-NW-APT-201-Seattle-WA-98107/2091406395_zpid/
912 NW 51ST St # B,SEATTLE,WA,98107,579900,699.0,1.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/912-NW-51ST-St-B-Seattle-WA-98107/89824447_zpid/
5440 Leary Ave NW UNIT 232,Seattle,WA,98107,460000,662.0,1.0,1.0,25,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5440-Leary-Ave-NW-UNIT-232-Seattle-WA-98107/2091344685_zpid/
1127 NW 64TH St,SEATTLE,WA,98107,1058000,2400.0,4.0,3.0,15,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1127-NW-64TH-St-Seattle-WA-98107/48823631_zpid/
6321 Seaview Ave NW UNIT 21,SEATTLE,WA,98107,995000,1210.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/6321-Seaview-Ave-NW-UNIT-21-Seattle-WA-98107/49010321_zpid/
2216B NW 64th St,Seattle,WA,98107,848950,1544.0,3.0,3.0,67,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2216B-NW-64th-St-Seattle-WA-98107/2091767558_zpid/
209 NW 47TH St,SEATTLE,WA,98107,1499888,4130.0,8.0,7.0,55,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/209-NW-47TH-St-Seattle-WA-98107/49040975_zpid/
1760 Nw 56th St #208,Seattle,WA,98107,565000,757.0,1.0,1.0,42,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/1760-Nw-56th-St-208-Seattle-WA-98107/2098778810_zpid/
3031 NW 64TH St,SEATTLE,WA,98107,1200000,2060.0,4.0,3.0,83,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/3031-NW-64TH-St-Seattle-WA-98107/49045257_zpid/
3631 NW 64TH St,SEATTLE,WA,98107,1900000,2290.0,4.0,2.0,1828,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/3631-NW-64TH-St-Seattle-WA-98107/49012884_zpid/
1147 NW 59TH St,SEATTLE,WA,98107,820000,800.0,2.0,1.0,330,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/1147-NW-59TH-St-Seattle-WA-98107/48823934_zpid/
6243 Sycamore Ave NW,SEATTLE,WA,98107,1500000,1780.0,3.0,2.0,116,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/6243-Sycamore-Ave-NW-Seattle-WA-98107/49125949_zpid/
1737 NW 60TH St # A,SEATTLE,WA,98107,1100000,1821.0,3.0,3.0,628,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/1737-NW-60TH-St-A-Seattle-WA-98107/124002942_zpid/
915 NW 52ND St # 1-917,SEATTLE,WA,98107,800000,1250.0,2.0,2.0,181,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/915-NW-52ND-St-1-917-Seattle-WA-98107/67686140_zpid/
3426 NW 56TH St,SEATTLE,WA,98107,1650000,3980.0,4.0,4.0,74,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/3426-NW-56TH-St-Seattle-WA-98107/48710702_zpid/
836 NW 60TH St,SEATTLE,WA,98107,969999,1330.0,3.0,2.0,157,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/836-NW-60TH-St-Seattle-WA-98107/48672346_zpid/
807 NW 56TH St,SEATTLE,WA,98107,1009000,1850.0,5.0,2.0,266,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/807-NW-56TH-St-Seattle-WA-98107/49127487_zpid/
2041 NW 64TH St # B,SEATTLE,WA,98107,1000000,1475.0,3.0,3.0,679,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/2041-NW-64TH-St-B-Seattle-WA-98107/122963234_zpid/
NW 62nd St,Seattle,WA,98107,NA,1510.0,3.0,2.0,812,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434657_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3RD Ave NW,SEATTLE,WA,98107,NA,1960.0,3.0,1.0,71,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/244339096_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
