address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
4746 NE 20th Ave,Portland,OR,97211,775000,2749.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4746-NE-20th-Ave-Portland-OR-97211/53976853_zpid/
1026 NE Prescott St,Portland,OR,97211,1086500,3800.0,4.0,4.0,263,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1026-NE-Prescott-St-Portland-OR-97211/83079639_zpid/
1111 NE Holland St,Portland,OR,97211,759900,3356.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1111-NE-Holland-St-Portland-OR-97211/53863685_zpid/
4325 NE 21st Ave,Portland,OR,97211,679000,3244.0,3.0,2.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4325-NE-21st-Ave-Portland-OR-97211/53977041_zpid/
4233 NE 18th Ave,Portland,OR,97211,650000,2150.0,3.0,2.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4233-NE-18th-Ave-Portland-OR-97211/53887756_zpid/
5735 NE 16th Ave,Portland,OR,97211,540000,2087.0,4.0,2.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5735-NE-16th-Ave-Portland-OR-97211/53921868_zpid/
4513 NE 13th Ave,Portland,OR,97211,550000,2336.0,3.0,1.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4513-NE-13th-Ave-Portland-OR-97211/53879296_zpid/
5312 NE 11th Ave # 1,Portland,OR,97211,279900,454.0,1.0,1.0,5,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5312-NE-11th-Ave-1-Portland-OR-97211/2091040458_zpid/
4702 NE 30th Ave,Portland,OR,97211,699000,2254.0,4.0,3.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4702-NE-30th-Ave-Portland-OR-97211/53858421_zpid/
5312 NE 11th Ave # 2,Portland,OR,97211,579900,1957.0,4.0,3.0,5,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5312-NE-11th-Ave-2-Portland-OR-97211/2091040457_zpid/
3552 NE Killingsworth St,Portland,OR,97211,499000,4791.0,NA,NA,3,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3552-NE-Killingsworth-St-Portland-OR-97211/2091016440_zpid/
1088 NE Stafford St,Portland,OR,97211,714900,2969.0,4.0,3.0,4,New Construction,http://www.zillow.com/homes/for_sale//homedetails/1088-NE-Stafford-St-Portland-OR-97211/2091027271_zpid/
5312 NE 11th Ave,Portland,OR,97211,1899000,4648.0,5.0,4.0,8,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5312-NE-11th-Ave-Portland-OR-97211/2091082780_zpid/
5081 NE 32nd Ave,Portland,OR,97211,825000,2602.0,5.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5081-NE-32nd-Ave-Portland-OR-97211/2091056604_zpid/
5903 NE 32nd Ave,Portland,OR,97211,769950,2743.0,5.0,4.0,8,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5903-NE-32nd-Ave-Portland-OR-97211/53888532_zpid/
